dataset,method,objective,ap,f1,iou,precision,recall,fpr95
SMIYC RoadObstacle,roadcontrast,0.7558976974688916,0.11685900207148438,0.17388447464405116,0.1107894188136572,0.14276060045820677,0.3690007300654982,0.4540034576916129
SMIYC RoadObstacle,roadcontrast_eras_light,0.7379751453940783,0.1457486298958628,0.1921395807569067,0.13059414711299164,0.21154378426121181,0.37243921622890974,0.45409380246936276
SMIYC RoadObstacle,roadcontrast_eras_balanced,0.7067783276937538,0.18522095099600336,0.2359289425123188,0.1690307544272625,0.2869954409419152,0.3796021862861776,0.45376735188586703
SMIYC RoadObstacle,roadcontrast_eras_recall,0.6799364409284256,0.21795305430478254,0.2751232011425178,0.2068393293304671,0.34564634675500194,0.3981130757752014,0.453643132200879
SMIYC RoadObstacle,dino,0.36556503362161213,0.5203421388699042,0.5228477271634476,0.39983578685974636,0.4780770077723996,0.6863756135694903,0.02679437470712183
SMIYC RoadObstacle,dino_eras_light,0.3624295561672705,0.5270659181267149,0.5232354275400876,0.39889828668290284,0.46929138208541554,0.7523792346411569,0.025553292227948356
SMIYC RoadObstacle,dino_eras_balanced,0.38117204946690886,0.4975423606538122,0.5039431758266698,0.3825243449279245,0.43111823743625205,0.806182408665627,0.02627642107107273
SMIYC RoadObstacle,dino_eras_recall,0.4148927065191912,0.45200316420071807,0.4634228878022906,0.3500872968542829,0.39202180980922285,0.8547623049498658,0.03156793172112058
RoadAnomaly21,roadcontrast,0.605757365781051,0.36979701827261313,0.4472717688372862,0.3058660302559041,0.4021799344032968,0.6187704564817628,0.6408851687325859
RoadAnomaly21,roadcontrast_eras_light,0.5990857218941601,0.37173778221992193,0.45287649104651884,0.309502146942784,0.4114491591613751,0.6141825523070352,0.6251504265936417
RoadAnomaly21,roadcontrast_eras_balanced,0.5967551197320382,0.37330215256487376,0.4534469312914064,0.3098895630319508,0.4229503690741816,0.613660267681136,0.6191296268399196
RoadAnomaly21,roadcontrast_eras_recall,0.5958432840725311,0.3729565332571373,0.45277603693735813,0.30915448396099354,0.4165055216929713,0.6278690781630337,0.6139900412138453
RoadAnomaly21,dino,0.7565953445083218,0.1323814222763078,0.3119458641509722,0.19071705073161074,0.19239808984797419,0.9313619792967927,0.6749158634867407
RoadAnomaly21,dino_eras_light,0.6287519463312397,0.29074791280181905,0.43475068301115527,0.2864599349941049,0.349667548290634,0.7624131827242481,0.5888554020234867
RoadAnomaly21,dino_eras_balanced,0.5933097462686339,0.322747941547065,0.4782390297004492,0.3289496478591575,0.364034927790209,0.8368639548698136,0.5591703331304684
RoadAnomaly21,dino_eras_recall,0.6052452860900388,0.31224502103746593,0.4741317345802255,0.32391119841652455,0.3755994289314796,0.7593982346348688,0.5843576064324167
StreetHazards partial,roadcontrast,0.8824104517788701,0.029485639079062372,0.06339982452716492,0.03429014834403313,0.042087798080041317,0.4158489684720922,0.6655785839800114
StreetHazards partial,roadcontrast_eras_light,0.8877994354010412,0.027937814125446075,0.06104597364459729,0.03298185716175777,0.043678247813991315,0.40261719505206545,0.6813626073073145
StreetHazards partial,roadcontrast_eras_balanced,0.8920143524242381,0.02611529509336408,0.058465432574846765,0.031528605450178944,0.04024072447522431,0.3658893356341634,0.69169348745112
StreetHazards partial,roadcontrast_eras_recall,0.8969479759140662,0.025175898599372058,0.05332409466270639,0.028672707203915584,0.03630931310099339,0.2958747049048701,0.7027270739430489
StreetHazards partial,dino,0.7408776780946905,0.11327038225019702,0.15882645643042512,0.09745801336538494,0.14242059696683673,0.47810667031769244,0.3671003629816726
StreetHazards partial,dino_eras_light,0.7425160101716176,0.06912580279477204,0.13436721835124732,0.07534658801150139,0.1076648473372222,0.5176817577936413,0.26877943084985184
StreetHazards partial,dino_eras_balanced,0.7489267680747274,0.06263418784236681,0.12925193928459003,0.07217737019787973,0.10130516428023992,0.543181077587825,0.2768744878451224
StreetHazards partial,dino_eras_recall,0.7710557031464274,0.04654028360048649,0.11066209021033416,0.06100498671169485,0.07230263718689603,0.5561674635468535,0.3136141926409557
